,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
81,517705,otra cozza - viña del mar,no franchise,0,Restaurant,pizzas,23,Vina del mar,0.6428571429,25.00%,0.07692307692,34.5,36.45606061,1.956060606,4.257692308,14,38.75769231,1.5,0.003255056963,517705,categoria_2,517705,MONDAY-SUNDAY,0-23,1,17,OPS_PERMANENT
83,520746,club del poke - viña centro,club del poke - cl,0,Restaurant,poke,23,Vina del mar,0.8181818182,25.93%,0.1818181818,26,29.29166667,3.291666667,6.812345679,33,32.81234568,1.130434783,0.007672634271,520746,categoria_2,520746,MONDAY-SUNDAY,0-23,1,13,OPS_PERMANENT
46,348647,dunkin jumbo angamos,dunkin donuts,0,Restaurant,cafetería,14,Antofagasta,0.1111111111,26.92%,0.03703703704,13.62962963,16.16960784,2.539978214,5.793589744,27,19.42321937,0.9735449735,0.006277609858,348647,categoria_2,348647,MONDAY-SUNDAY,0-23,1,7,OPS_PERMANENT
61,425089,pronto alemania,pronto copec,0,Restaurant,hamburguesas,18,Temuco,0.323943662,26.92%,0.2,20.49295775,25.006,4.513042254,5.82654321,71,26.31950096,1.138497653,0.01650778889,425089,categoria_2,425089,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
74,499839,saltao - restobar,no franchise,0,Restaurant,comida peruana,21,Santiago,0.5882352941,27.27%,0.3529411765,28.58823529,32.71025641,4.122021116,4.216666667,17,32.80490196,1.361344538,0.00395256917,499839,categoria_2,499839,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
67,477848,rocoto saltado,no franchise,0,Restaurant,comida peruana,21,Talca,0.8888888889,27.78%,0,38.61111111,43.47604167,4.864930556,5.69537037,18,44.30648148,1.838624339,0.004185073239,477848,categoria_2,477848,MONDAY-SUNDAY,0-23,1,19,OPS_PERMANENT
64,449284,wendy`s el rosal,wendy's,0,Restaurant,hamburguesas,19,Santiago,0.2834645669,28.18%,0.09090909091,19.2519685,21.93127572,2.679307216,5.845833333,127,25.09780184,1.0132615,0.02952801674,449284,categoria_2,449284,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
70,495966,bar nogg machali,no franchise,0,Restaurant,pizzas,23,Rancagua,0.5,28.57%,0.125,30.25,33.47380952,3.223809524,6.00952381,8,36.25952381,1.315217391,0.001860032551,495966,categoria_3,495966,MONDAY-SUNDAY,0-23,1,15,OPS_PERMANENT
37,231151,el guatón - mall paseo ross,el guaton,1,Restaurant,completos,23,Vina del mar,0.4615384615,29.03%,0.07920792079,22.97115385,26.284,3.312846154,5.818794326,104,28.78994817,0.9987458194,0.02418042316,231151,categoria_2,231151,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
6,63801,burger king® - la dehesa,burger king,1,Restaurant,hamburguesas,15,Santiago,0.07792207792,29.58%,0.04054054054,11.05194805,15.88879781,4.836849762,6.186036036,77,17.23798409,0.7367965368,0.0179028133,63801,categoria_2,63801,MONDAY-SUNDAY,0-23,1,6,OPS_PERMANENT
